DIN,Name,Restaurant,Ingredient,Category,Calorie,Price,Img,Score
?,?,?,?,?,?,?,http://miga-restaurant.com/wp-content/uploads/2015/10/galbiMini-2.jpg,?
?,?,?,?,?,?,?,http://miga-restaurant.com/wp-content/uploads/2015/10/MisoRamen-330-1.jpg,?
?,?,?,?,?,?,?,http://miga-restaurant.com/wp-content/uploads/2015/10/BuddhismBiBimBop-123.jpg,?
?,?,?,?,?,?,?,http://miga-restaurant.com/wp-content/uploads/2015/10/SalmonCalamariSteak.jpg,?
?,?,?,?,?,?,?,http://miga-restaurant.com/wp-content/uploads/2015/10/Chef-Garden-Steak.jpg,?
?,?,?,?,?,?,?,http://miga-restaurant.com/wp-content/uploads/2015/10/ShamimiGarden-423-1-e1466968098565.jpg,?
?,?,?,?,?,?,?,http://miga-restaurant.com/wp-content/uploads/2015/10/beefSamMini-1-e1466967923215.jpg,?
?,?,?,?,?,?,?,http://miga-restaurant.com/wp-content/uploads/2015/10/ColdRamenSalad-245-2.jpg,?
?,Beef SSAM,Miga,"kimchi, pickles, lettuce, rice",appetizer,?,17,http://miga-restaurant.com/wp-content/uploads/2015/10/Beef_SSAM-065-1-e1466967886962.jpg,0
?,?,?,?,?,?,?,http://miga-restaurant.com/wp-content/uploads/2015/10/WhiteButterFish.jpg,?
?,?,?,?,?,?,?,http://miga-restaurant.com/wp-content/uploads/2015/10/TunaSteak.jpg,?
?,Ceviche,Miga,"salmon, white fish, tuna, red onion, mango, seaweed mix, yuzu konbu vinaigrette",dinner,?,12,http://miga-restaurant.com/wp-content/uploads/2015/10/cevicheMini-2.jpg,0
?,Bi Bim Bap,Miga,"rice with seasonal vegetables, fried egg, chili sauce, add beef $6, add raw or seared salmon $6 or tofu $4",dinner,?,15,https://s3-media2.fl.yelpcdn.com/bphoto/20mYV7EXYhBIUw8-pdA_lg/o.jpg,0
