DIN,name,description,ingredient,category,calorie,price,img,score,RIN,restaurant
,Lobster and Langostino Pizza,"Maine and langostino lobster meat, melted mozzarella, fresh tomatoes and sweet basil.",,Appetizers,690,11.79,https://static.olocdn.net/menu/redlobster/3f44976656d7c361e36b0faac20908ca.jpg,0,,Red Lobster
,NEW! Peppercorn-Panko Calamari,Calamari with red and green bell peppers. Served with marinara and ranch dipping sauces.,,Appetizers,990,9.99,https://static.olocdn.net/menu/redlobster/188f17023417386d57b0fbc7f0bccd9c.jpg,0,,Red Lobster
,Signature Jumbo Shrimp Cocktail,Served chilled with our classic cocktail sauce.,,Appetizers,130,9.99,https://static.olocdn.net/menu/redlobster/b7c1ef581386f3992b84f7ce4efefac0.jpg,0,,Red Lobster
,Mozzarella Cheesesticks,Served with marinara.,,Appetizers,820,8.49,https://static.olocdn.net/menu/redlobster/edd43ca7da290ca6ab89488c865e187c.jpg,0,,Red Lobster
,Parrot Isle Jumbo Coconut Shrimp Appetizer,Dunk in our signature piña colada sauce.,,Appetizers,610,9.99,https://static.olocdn.net/menu/redlobster/bf685866eced670fd7b94de76c010dc7.jpg,0,,Red Lobster
,White Wine and Roasted-Garlic Mussels,Roasted tomatoes and green onions. Served with grilled artisan bread.,,Appetizers,910,11.79,https://static.olocdn.net/menu/redlobster/e010bf5d81379db9be7902ac236e0079.jpg,0,,Red Lobster
,Seafood-Stuffed Mushrooms,Signature seafood stuffing and Monterey Jack cheese.,,Appetizers,490,9.49,https://www.redlobster.com/images/default-source/images/events/2018/event-6-lobsterfest/specials/specials_menuimage_seafoodstuffedmushrooms_us_event6lobsterfest_602x410.jpg,0,,Red Lobster
,Langostino Lobster-Artichoke-and-Seafood Dip,"Langostino lobster, seafood, artichokes and spinach in a three-cheese blend. Served with tortilla chips and pico de gallo.",,Appetizers,1200,10.79,https://static.olocdn.net/menu/redlobster/65f75458f8f84a75dea1e8faa737c013.jpg,0,,Red Lobster
,Sweet Chili Shrimp,Hand-battered shrimp tossed in a spicy chili sauce.,,Appetizers,1100,9.99,https://static.olocdn.net/menu/redlobster/6093e2ede9609317d96554e700da69dc.jpg,0,,Red Lobster
,Seaside Sampler,"Seafood-Stuffed Mushrooms, Parrot Isle Jumbo Coconut Shrimp and Signature Jumbo Shrimp Cocktail.",,Appetizers,840,14.49,https://static.olocdn.net/menu/redlobster/3a33efb6d6c1ec0a694b1ab602d236a4.jpg,0,,Red Lobster
,Create Your Own Appetizer,Why settle on one appetizer when you can mix and match? Pick two or three of your favorites.,,Appetizers,,,https://static.olocdn.net/menu/redlobster/746ec74ec27db0a2781eb4e575aab5df.jpg,0,,Red Lobster
,Chilled Lobster-and-Shrimp Cocktail,,,Specials,240,14.49,https://static.olocdn.net/menu/redlobster/b588c005b5cd2be135a50cb4421b90a8.jpg,0,,Red Lobster
,Petite Red Lobster Roll,"Warm, sweet Maine lobster meat served in a toasted roll and brushed with butter.",,New! Tasting Plates,310,7.99,https://static.olocdn.net/menu/redlobster/0a51e495db62c39956b55bb49bd54edb.jpg,0,,Red Lobster
,Shrimp Potstickers,"Three golden-fried dumplings topped with spicy
dragon sauce and green onions. Extra sauce
on the side.",,New! Tasting Plates,210,4.99,https://static.olocdn.net/menu/redlobster/8e99c2ad89f56ebb419e5b45a47fb2f8.jpg,0,,Red Lobster
,Loaded Seaside Fries,"Seasoned fries loaded with Monterey Jack cheese, clam strips and creamy clam chowder, topped with green onions. No ketchup needed.",,New! Tasting Plates,750,3.99,https://static.olocdn.net/menu/redlobster/6b8eec358560dc4e44f6c8aad203167a.jpg,0,,Red Lobster
,Yucatán Shrimp,Two jumbo shrimp roasted in chili-lime butter with caramelized pineapple and topped with fresh jalapeños. Served with grilled artisan bread for soaking up that savory goodness.,,New! Tasting Plates,230,4.99,https://static.olocdn.net/menu/redlobster/5d77f9b105526cbb5ccb6cc4df0c526b.jpg,0,,Red Lobster
,Dragon Broccoli,"Golden-fried florets drizzled with spicy dragon
sauce and topped with fried chili peppers.
Spice seekers, this one's for you.",,New! Tasting Plates,460,2.99,https://static.olocdn.net/menu/redlobster/02172f9568c92f82247329dfe2cba98e.jpg,0,,Red Lobster
,New England Clam Chowder,Choose a Cup or Bowl.,,Soups & Salads,,,https://static.olocdn.net/menu/redlobster/9995aab0e9e04782c4fff6db8c5f528c.jpg,0,,Red Lobster
,Lobster Bisque,Choose a Cup or Bowl.,,Soups & Salads,,,https://static.olocdn.net/menu/redlobster/3ef822b9038fe7eb925c559e9c5d910b.jpg,0,,Red Lobster
,Creamy Potato Bacon,Choose a Cup or Bowl.,,Soups & Salads,,,https://static.olocdn.net/menu/redlobster/7cc80655806ab7d76a32d6e1cddbbd00.jpg,0,,Red Lobster
,Classic Caesar Salad,"Crisp romaine, croutons and shaved Parmesan cheese.",,Soups & Salads,520,,https://static.olocdn.net/menu/redlobster/36c435cbae59a33c5552a1b20df9d809.jpg,0,,Red Lobster
,Crab Linguini Alfredo,Choose a half or full portion.,,Signature Shellfish,,,https://static.olocdn.net/menu/redlobster/680c8e5d0d05db7438a332ddcb1919da.jpg,0,,Red Lobster
,Rock Lobster Tail,"Wild-caught Caribbean lobster, wood-grilled and served with rice and choice of side.",,Signature Shellfish,730,33.99,https://static.olocdn.net/menu/redlobster/31beceaf81fc16ffea24385b5c794e22.jpg,0,,Red Lobster
,Live Maine Lobster (1.25 lb.),"Wild-caught, fresh from the Atlantic. Prepared to order simply steamed (440 Cal), or roasted with crab-and-seafood stuffing (530 Cal). Served with choice of two sides.",,Signature Shellfish,,29.99,https://static.olocdn.net/menu/redlobster/bb2af926a661a685c760504672fa2bb1.jpg,0,,Red Lobster
,Shrimp Linguini Alfredo,Choose a half or full portion.,,Signature Shellfish,,,https://static.olocdn.net/menu/redlobster/d440ec986bde491ab48da92abe85759f.jpg,0,,Red Lobster
,Wood-Grilled Shrimp,"Two shrimp skewers served over rice, with choice of side.",,Signature Shellfish,380,16.79,https://static.olocdn.net/menu/redlobster/cf1631046844da9414f0d39d88621c43.jpg,0,,Red Lobster
,Shrimp Your Way,Served with choice of side.,,Signature Shellfish,,,https://static.olocdn.net/menu/redlobster/6dd38dce647b64da80a7e82e35709b6a.jpg,0,,Red Lobster
,Walt's Favorite Shrimp,"Hand-breaded, butterflied and lightly fried—just the way Chef Walt liked them. Served with choice of side.",,Signature Shellfish,,,https://static.olocdn.net/menu/redlobster/e301e8e237b5379326ecdbdd4e599376.jpg,0,,Red Lobster
,Crunchy Popcorn Shrimp Dinner,Bite-sized shrimp fried until golden brown. Served with choice of side.,,Signature Shellfish,570,11.99,https://static.olocdn.net/menu/redlobster/81328cdc7e8b59030c21d8d90b4318e0.jpg,0,,Red Lobster
,"Wood-Grilled Lobster, Shrimp and Salmon","Maine lobster tail, jumbo shrimp skewer and fresh
Atlantic salmon, finished with a brown butter sauce. Served with rice and choice of side.",,Seafood Feasts & Combinations,940,27.99,https://www.redlobster.com/images/default-source/images/events/2018/event-6-lobsterfest/specials/specials_menuimage_woodgrilled_lobstershrimpsalmon_us_event6lobsterfest_602x410_fy18.jpg,0,,Red Lobster
,Admiral's Feast,"Walt’s Favorite Shrimp, bay scallops, clam strips and wild-caught flounder, all fried to a golden brown. Served with choice of side.",,Seafood Feasts & Combinations,1420,19.99,https://static.olocdn.net/menu/redlobster/754df99f55168963522df9be4067f76c.jpg,0,,Red Lobster
,Create Your Own Combination,Served with choice of side.,,Seafood Feasts & Combinations,,,https://static.olocdn.net/menu/redlobster/f1b0e6dfbc1b386e47825ad58ff02728.jpg,0,,Red Lobster
,Ultimate Feast®,"Tender Maine lobster tail, steamed wild-caught North American snow crab legs, our signature
hand-crafted garlic shrimp scampi and Walt's
Favorite Shrimp. Served with rice and choice of side.",,Seafood Feasts & Combinations,1190,29.29,https://www.redlobster.com/images/default-source/images/events/2018/event-6-lobsterfest/specials/specials_menuimage_ultimatefeast_us_event6lobsterfest_602x410_fy18_2.jpg,0,,Red Lobster
,Seaside Shrimp Trio,"A generous sampling of our Walt's Favorite Shrimp, hand-crafted garlic shrimp scampi and creamy shrimp linguini Alfredo. Served with choice of side.",,Seafood Feasts & Combinations,1270,19.99,https://static.olocdn.net/menu/redlobster/45a1b4bb0f4550e42b63f758201b0b28.jpg,0,,Red Lobster
,Bar Harbor Lobster Bake,"Petite Maine lobster tails, split and roasted, with shrimp, sea scallops, mussels and fresh tomatoes. Served over linguini in a garlic and white wine broth.",,Seafood Feasts & Combinations,1380,28.99,https://static.olocdn.net/menu/redlobster/dc3ff74a6dc226bcd30503cd9a9c6eb7.jpg,0,,Red Lobster
